s_capitate_R;Kopfbein rechts
s_intervertebralDiscT7T8;Bandscheibe Th7/Th8
s_intervertebralDiscT8T9;Bandscheibe Th8/Th9
s_intervertebralDiscT9T10;Bandscheibe Th9/Th10
s_intervertebralDiscT10T11;Bandscheibe Th10/Th11
s_intervertebralDiscT11T12;Bandscheibe Th11/Th12
s_intervertebralDiscT12L1;Bandscheibe Th12/L1
s_intervertebralDiscL1L2;Bandscheibe L1/L2
s_intervertebralDiscL2L3;Bandscheibe L2/L3
s_intervertebralDiscL3L4;Bandscheibe L3/L4
s_intervertebralDiscL4L5;Bandscheibe L4/L5
s_intervertebralDiscL5S1;Bandscheibe L5/S1
s_pubicSymphysisLigament;Band der Schambeinfuge
s_ribs_L;Rippen links
s_ribs_R;Rippen rechts
s_sacrum;Kreuzbein
s_scapula_L;Schulterblatt links
s_scapula_R;Schulterblatt rechts
s_sternumBody;Brustbein-Körper
s_sternumManubrium;Brustbein-Handgriff
s_sternumXiphoidProcess;Brustbein-Schwertfortsatz
s_calcaneus_L;Fersenbein links
s_calcaneus_R;Fersenbein rechts
s_cuboid_L;Würfelbein links
s_cuboid_R;Würfelbein rechts
s_cuneiformIntermediate_L;mittleres Keilbein links
s_cuneiformIntermediate_R;mittleres Keilbein rechts
s_cuneiformLateral_L;laterales Keilbein links
s_cuneiformLateral_R;laterales Keilbein rechts
s_cuneiformMedial_L;mediales Keilbein links
s_cuneiformMedial_R;mediales Keilbein rechts
s_distalPhalanxFoot1_L;Großzehenendglied links
s_distalPhalanxFoot1_R;Großzehenendglied rechts
s_distalPhalanxFoot2_L;Endglied der 2. Zehe links
s_distalPhalanxFoot2_R;Endglied der 2. Zehe rechts
s_distalPhalanxFoot3_L;Endglied der 3. Zehe links
s_distalPhalanxFoot3_R;Endglied der 3. Zehe rechts
s_distalPhalanxFoot4_L;Endglied der 4. Zehe links
s_distalPhalanxFoot4_R;Endglied der 4. Zehe rechts
s_distalPhalanxFoot5_L;Endglied der 5. Zehe links
s_distalPhalanxFoot5_R;Endglied der 5. Zehe rechts
s_femur_L;Oberschenkelknochen links
s_femur_R;Oberschenkelknochen rechts
s_fibula_L;Wadenbein links
s_fibula_R;Wadenbein rechts
s_metatarsal1_L;1. Mittelfußknochen links
s_metatarsal1_R;1. Mittelfußknochen rechts
s_metatarsal2_L;2. Mittelfußknochen links
s_metatarsal2_R;2. Mittelfußknochen rechts
s_metatarsal3_L;3. Mittelfußknochen links
s_metatarsal3_R;3. Mittelfußknochen rechts
s_metatarsal4_L;4. Mittelfußknochen links
s_metatarsal4_R;4. Mittelfußknochen rechts
s_metatarsal5_L;5. Mittelfußknochen links
s_metatarsal5_R;5. Mittelfußknochen rechts
s_middlePhalanxFoot2_L;Mittelglied der 2. Zehe links
s_middlePhalanxFoot2_R;Mittelglied der 2. Zehe rechts
s_middlePhalanxFoot3_L;Mittelglied der 3. Zehe links
s_middlePhalanxFoot3_R;Mittelglied der 3. Zehe rechts
s_middlePhalanxFoot4_L;Mittelglied der 4. Zehe links
s_middlePhalanxFoot4_R;Mittelglied der 4. Zehe rechts
s_middlePhalanxFoot5_L;Mittelglied der 5. Zehe links
s_middlePhalanxFoot5_R;Mittelglied der 5. Zehe rechts
s_navicular_L;Kahnbein (Fuß) links
s_navicular_R;Kahnbein (Fuß) rechts
s_patella_L;Kniescheibe links
s_patella_R;Kniescheibe rechts
s_proximalPhalanxFoot1_L;Großzehengrundglied links
s_proximalPhalanxFoot1_R;Großzehengrundglied rechts
s_proximalPhalanxFoot2_L;Grundglied der 2. Zehe links
s_proximalPhalanxFoot2_R;Grundglied der 2. Zehe rechts
s_proximalPhalanxFoot3_L;Grundglied der 3. Zehe links
s_proximalPhalanxFoot3_R;Grundglied der 3. Zehe rechts
s_proximalPhalanxFoot4_L;Grundglied der 4. Zehe links
s_proximalPhalanxFoot4_R;Grundglied der 4. Zehe rechts
s_proximalPhalanxFoot5_L;Grundglied der 5. Zehe links
s_proximalPhalanxFoot5_R;Grundglied der 5. Zehe rechts
s_sphenioid;Keilbein
s_sesamoidLateral_L;laterales Sesambein links
s_sesamoidLateral_R;laterales Sesambein rechts
s_sesamoidMedial_L;mediales Sesambein links
s_sesamoidMedial_R;mediales Sesambein rechts
s_talus_L;Sprungbein links
s_talus_R;Sprungbein rechts
s_tibia_L;Schienbein links
s_tibia_R;Schienbein rechts
s_menisci_L;Menisken links
s_menisci_R;Menisken rechts
s_vertebraC01;Atlas (1. Halswirbel)
s_vertebraC02;Axis (2. Halswirbel)
s_vertebraC03;3. Halswirbel
s_vertebraC04;4. Halswirbel
s_vertebraC05;5. Halswirbel
s_vertebraC06;6. Halswirbel
s_vertebraC07;7. Halswirbel
s_vertebraT01;1. Brustwirbel
s_vertebraT02;2. Brustwirbel
s_vertebraT03;3. Brustwirbel
s_vertebraT04;4. Brustwirbel
s_vertebraT05;5. Brustwirbel
s_vertebraT06;6. Brustwirbel
s_vertebraT07;7. Brustwirbel
s_vertebraT08;8. Brustwirbel
s_vertebraT09;9. Brustwirbel
s_vertebraT10;10. Brustwirbel
s_vertebraT11;11. Brustwirbel
s_vertebraT12;12. Brustwirbel
s_vertebraL01;1. Lendenwirbel
s_vertebraL02;2. Lendenwirbel
s_vertebraL03;3. Lendenwirbel
s_vertebraL04;4. Lendenwirbel
s_vertebraL05;5. Lendenwirbel
