s_intervertebralDiscT1T2;Discus intervertebralis
s_intervertebralDiscT2T3;Discus intervertebralis
s_intervertebralDiscT3T4;Discus intervertebralis
s_intervertebralDiscT4T5;Discus intervertebralis
s_intervertebralDiscT5T6;Discus intervertebralis
s_intervertebralDiscT6T7;Discus intervertebralis
s_intervertebralDiscT7T8;Discus intervertebralis
s_intervertebralDiscT8T9;Discus intervertebralis
s_intervertebralDiscT9T10;Discus intervertebralis
s_intervertebralDiscT10T11;Discus intervertebralis
s_intervertebralDiscT11T12;Discus intervertebralis
s_intervertebralDiscT12L1;Discus intervertebralis
s_intervertebralDiscL1L2;Discus intervertebralis
s_intervertebralDiscL2L3;Discus intervertebralis
s_intervertebralDiscL3L4;Discus intervertebralis
s_intervertebralDiscL4L5;Discus intervertebralis
s_intervertebralDiscL5S1;Discus intervertebralis
s_pubicSymphysisLigament;Ligamentum pubicum superius
s_ribs_L;Costae
s_ribs_R;Costae
s_sacrum;Os sacrum
s_scapula_L;Scapula
s_scapula_R;Scapula
s_sternumBody;Corpus sterni
s_sternumManubrium;Manubrium sterni
s_sternumXiphoidProcess;Processus xiphoideus
s_calcaneus_L;Calcaneus
s_calcaneus_R;Calcaneus
s_cuboid_L;Os cuboideum
s_cuboid_R;Os cuboideum
s_cuneiformIntermediate_L;Os cuneiforme intermedium
s_cuneiformIntermediate_R;Os cuneiforme intermedium
s_cuneiformLateral_L;Os cuneiforme laterale
s_cuneiformLateral_R;Os cuneiforme laterale
s_cuneiformMedial_L;Os cuneiforme mediale
s_cuneiformMedial_R;Os cuneiforme mediale
s_distalPhalanxFoot1_L;Phalanx distalis hallucis
s_distalPhalanxFoot1_R;Phalanx distalis hallucis
s_distalPhalanxFoot2_L;Phalanx distalis digiti pedis secundi
s_distalPhalanxFoot2_R;Phalanx distalis digiti pedis secundi
s_distalPhalanxFoot3_L;Phalanx distalis digiti pedis tertii
s_distalPhalanxFoot3_R;Phalanx distalis digiti pedis tertii
s_distalPhalanxFoot4_L;Phalanx distalis digiti pedis quarti
s_distalPhalanxFoot4_R;Phalanx distalis digiti pedis quarti
s_distalPhalanxFoot5_L;Phalanx distalis digiti pedis quinti
s_distalPhalanxFoot5_R;Phalanx distalis digiti pedis quinti
s_femur_L;Os femoris
s_femur_R;Os femoris
s_fibula_L;Fibula
s_fibula_R;Fibula
s_metatarsal1_L;Os metatarsale I
s_metatarsal1_R;Os metatarsale I
s_metatarsal2_L;Os metatarsale II
s_metatarsal2_R;Os metatarsale II
s_metatarsal3_L;Os metatarsale III
s_metatarsal3_R;Os metatarsale III
s_metatarsal4_L;Os metatarsale IV
s_metatarsal4_R;Os metatarsale IV
s_metatarsal5_L;Os metatarsale V
s_metatarsal5_R;Os metatarsale V
s_middlePhalanxFoot2_L;Phalanx media digiti pedis secundi
s_middlePhalanxFoot2_R;Phalanx media digiti pedis secundi
s_middlePhalanxFoot3_L;Phalanx media digiti pedis tertii
s_middlePhalanxFoot3_R;Phalanx media digiti pedis tertii
s_middlePhalanxFoot4_L;Phalanx media digiti pedis quarti
s_middlePhalanxFoot4_R;Phalanx media digiti pedis quarti
s_middlePhalanxFoot5_L;Phalanx media digiti pedis quinti
s_middlePhalanxFoot5_R;Phalanx media digiti pedis quinti
s_navicular_L;Os naviculare
s_navicular_R;Os naviculare
s_patella_L;Patella
s_patella_R;Patella
s_proximalPhalanxFoot1_L;Phalanx proximalis hallucis
s_proximalPhalanxFoot1_R;Phalanx proximalis hallucis
s_proximalPhalanxFoot2_L;Phalanx proximalis digiti pedis secundi
s_proximalPhalanxFoot2_R;Phalanx proximalis digiti pedis secundi
s_proximalPhalanxFoot3_L;Phalanx proximalis digiti pedis tertii
s_proximalPhalanxFoot3_R;Phalanx proximalis digiti pedis tertii
s_proximalPhalanxFoot4_L;Phalanx proximalis digiti pedis quarti
s_proximalPhalanxFoot4_R;Phalanx proximalis digiti pedis quarti
s_proximalPhalanxFoot5_L;Phalanx proximalis digiti pedis quinti
s_proximalPhalanxFoot5_R;Phalanx proximalis digiti pedis quinti
s_sesamoidLateral_L;Os sesamoideum hallucis laterale
s_sesamoidLateral_R;Os sesamoideum hallucis laterale
s_sesamoidMedial_L;Os sesamoideum hallucis mediale
s_sesamoidMedial_R;Os sesamoideum hallucis mediale
s_talus_L;Talus
s_talus_R;Talus
s_tibia_L;Tibia
s_tibia_R;Tibia
s_menisci_L;Menisci genus
s_menisci_R;Menisci genus
s_vertebraC01;Atlas (Vertebra cervicalis I)
s_vertebraC02;Axis (Vertebra cervicalis II)
s_vertebraC03;Vertebra cervicalis III
s_vertebraC04;Vertebra cervicalis IV
s_vertebraC05;Vertebra cervicalis V
s_vertebraC06;Vertebra cervicalis VI
s_vertebraC07;Vertebra cervicalis VII
s_vertebraT01;Vertebra thoracica I
s_vertebraT02;Vertebra thoracica II
s_vertebraT03;Vertebra thoracica III
s_vertebraT04;Vertebra thoracica IV
s_vertebraT05;Vertebra thoracica V
s_vertebraT06;Vertebra thoracica VI
s_vertebraT07;Vertebra thoracica VII
s_vertebraT08;Vertebra thoracica VIII
s_vertebraT09;Vertebra thoracica IX
s_vertebraT10;Vertebra thoracica X
s_vertebraT11;Vertebra thoracica XI
s_vertebraT12;Vertebra thoracica XII
s_vertebraL01;Vertebra lumbalis I
s_vertebraL02;Vertebra lumbalis II
s_vertebraL03;Vertebra lumbalis III
s_vertebraL04;Vertebra lumbalis IV
s_vertebraL05;Vertebra lumbalis V
